,Unnamed: 0,Judul,Penulis,Teks,Rangkuman,Sumber,label
0,0,[DISINFORMASI] KPU Nyatakan Ganjar Pranowo Gagal Daftar Pilpres 2024,Pdsi Kominfo,"Penjelasan :

Beredar sebuah unggahan video di kanal YouTube dengan narasi yang menyebut bahwa Komisi Pemilihan Umum (KPU) resmi mengeluarkan Ganjar Pranowo dari daftar calon presiden (capres) pada Pemilihan Umum (Pemilu) 2024.

Faktanya, klaim tentang Ganjar Pranowo tidak lolos dalam proses pendaftaran di KPU adalah salah. Dilansir dari antara.com yang mengacu pada laman resmi KPU RI, tahapan pencalonan presiden dan wakil presiden untuk Pemilu 2024 baru akan dibuka serentak pada 19 Oktober 2023 hingga 25 November 2023 di KPU. Artinya, di luar jadwal yang ditentukan itu tidak ada satu pun partai yang bisa mendaftarkan calon presiden maupun calon wakil presidennya ke instansi penyelenggara Pemilu.

KATEGORI: DISINFORMASI

Link counter:","Penjelasan :Beredar sebuah unggahan video di kanal YouTube dengan narasi yang menyebut bahwa Komisi Pemilihan Umum (KPU) resmi mengeluarkan Ganjar Pranowo dari daftar calon presiden (capres) pada Pemilihan Umum (Pemilu) 2024.
Faktanya, klaim tentang Ganjar Pranowo tidak lolos dalam proses pendaftaran di KPU adalah salah.
Dilansir dari antara.com yang mengacu pada laman resmi KPU RI, tahapan pencalonan presiden dan wakil presiden untuk Pemilu 2024 baru akan dibuka serentak pada 19 Oktober 2023 hingga 25 November 2023 di KPU.
Artinya, di luar jadwal yang ditentukan itu tidak ada satu pun partai yang bisa mendaftarkan calon presiden maupun calon wakil presidennya ke instansi penyelenggara Pemilu.
KATEGORI: DISINFORMASILink counter:",https://www.kominfo.go.id,hoax
1,1,[HOAKS] Dirut Pertamina Sita Aset Ahok untuk Ganti Rugi Kebakaran Depo Pertamina Plumpang,Pdsi Kominfo,"Penjelasan :

Beredar di platform YouTube sebuah video dengan judul yang mengeklaim bahwa Direktur Utama (Dirut) PT Pertamina Nicke Widyawati menyita seluruh aset Komisaris Utama PT Pertamina Basuki Tjahaja Purnama (Ahok) untuk ganti rugi kebakaran Depo Pertamina Plumpang.

Dilansir dari merdeka.com, video yang mengeklaim bahwa Dirut PT Pertamina menyita seluruh aset milik Ahok untuk ganti rugi kebakaran Depo Pertamina Plumpang adalah hoaks. Faktanya, isi video tersebut berbeda dengan judul dan keterangan pada thumbnail video. Video tersebut berisi ungkapan Dirut PT Pertamina terkait penyebab kebakaran Depo Pertamina Plumpang terjadi bukan dari tangki bahan bakar minyak (BBM), melainkan bermula dari pipa inlet. Selain itu, sampai saat ini tidak ada informasi valid terkait Dirut PT Pertamina menyita seluruh aset Ahok untuk ganti rugi kebakaran Depo Pertamina Plumpang.

KATEGORI: HOAKS

Link Counter:","Penjelasan :Beredar di platform YouTube sebuah video dengan judul yang mengeklaim bahwa Direktur Utama (Dirut) PT Pertamina Nicke Widyawati menyita seluruh aset Komisaris Utama PT Pertamina Basuki Tjahaja Purnama (Ahok) untuk ganti rugi kebakaran Depo Pertamina Plumpang.
Dilansir dari merdeka.com, video yang mengeklaim bahwa Dirut PT Pertamina menyita seluruh aset milik Ahok untuk ganti rugi kebakaran Depo Pertamina Plumpang adalah hoaks.
Faktanya, isi video tersebut berbeda dengan judul dan keterangan pada thumbnail video.
Video tersebut berisi ungkapan Dirut PT Pertamina terkait penyebab kebakaran Depo Pertamina Plumpang terjadi bukan dari tangki bahan bakar minyak (BBM), melainkan bermula dari pipa inlet.
Selain itu, sampai saat ini tidak ada informasi valid terkait Dirut PT Pertamina menyita seluruh aset Ahok untuk ganti rugi kebakaran Depo Pertamina Plumpang.",https://www.kominfo.go.id,hoax
2,2,[DISINFORMASI] Pertamax Berisi Pertalite,Pdsi Kominfo,"Penjelasan :

Beredar sebuah video melalui pesan berantai WhatsApp yang memperlihatkan seorang petugas SPBU mengisi cairan ke dalam dua buah botol dari nozzle (selang) yang berwarna biru dan putih. Pesan berantai itu disertai narasi yang menyebut bahan bakar minyak (BBM) jenis Pertamax saat ini ternyata berisi jenis Pertalite.

Faktanya, dilansir dari tempo.com , klaim BBM jenis Pertamax berisi BBM jenis Pertalite adalah keliru. Berdasarkan hasil penelusuran, video tersebut pertama kali beredar bulan Agustus 2017. Area Manager Communication & Relations Pertamina Jawa Bagian Barat Yudy Nugraha mengatakan pihaknya telah melakukan uji lab sampel cairan setelah menerima pengaduan pelanggan mengenai video tersebut. Hasil uji menunjukkan bahwa kandungan kedua cairan dari nozzle tersebut berisi Pertamax dan Pertalite. Kedua cairan tersebut sudah sesuai standar RON Pertalite 90.2 dan Pertamax 92. Warna BBM Pertamina jenis Pertalite dan Pertamax berbeda walaupun sekilas terlihat mirip. Pertamax berwarna biru kehijauan, sedangkan Pertalite berwarna hijau terang. Sementara itu, dilansir dari cnnindonesia.com , perbedaan warna pada BBM Pertamina hanya berfungsi sebagai penanda visual. Pakar mesin Institut Teknologi Bandung (ITB) Iman Kartolaksono Reksowardojo mengatakan bahwa warna BBM tidak memengaruhi kualitas BBM.

KATEGORI: DISINFORMASI

Link counter:","Pesan berantai itu disertai narasi yang menyebut bahan bakar minyak (BBM) jenis Pertamax saat ini ternyata berisi jenis Pertalite.
Faktanya, dilansir dari tempo.com , klaim BBM jenis Pertamax berisi BBM jenis Pertalite adalah keliru.
Hasil uji menunjukkan bahwa kandungan kedua cairan dari nozzle tersebut berisi Pertamax dan Pertalite.
Warna BBM Pertamina jenis Pertalite dan Pertamax berbeda walaupun sekilas terlihat mirip.
Pertamax berwarna biru kehijauan, sedangkan Pertalite berwarna hijau terang.",https://www.kominfo.go.id,hoax
3,3,[DISINFORMASI] Mobil Wakil Presiden Kehabisan Bensin Diisi dengan Bensin Eceran di Pinggir Jalan,Pdsi Kominfo,"Penjelasan :

Beredar sebuah video di media sosial yang menampilkan mobil dinas Wakil Presiden sedang diisi bahan bakarnya dengan menggunakan jeriken. Video tersebut disertai narasi ""Mobil Wapres (RI2) kehabisan bensin, Ngecer bensin dipinggir jalan. Kode devisit APBN""

Setelah ditelusuri, klaim yang menyebutkan mobil Wapres kehabisan bensin dan mengisi bensin eceran adalah salah. Dikutip daridetik.com, Kepala Sekretariat Wakil Presiden Mohamad Oemar menyatakan mobil tersebut bukan kehabisan bahan bakar. Oemar menjelaskan ""Pengisian BBM dari jeriken dilakukan karena tidak adanya SPBU yang memiliki bahan bakar minyak (BBM) sesuai kriteria mobil VVIP dan bukan karena mobil tersebut kehabisan BBM."" ia lanjut menjelaskan, dalam setiap rangkaian VVIP selalu disiapkan BBM cadangan dalam jeriken di mobil teknisi. Saat diperlukan pengisian BBM, dan ketika tidak tersedia BBM yang sesuai spesifikasi mobil VVIP di SPBU setempat, maka digunakan BBM cadangan yang telah disiapkan.

KATEGORI: DISINFORMASI

Link Counter:

https://news.detik.com/berita/d-5089163/viral-video-mobil-ri-2-kehabisan-bbm-di-jalan-ini-penjelasan-istana-wapres

https://republika.co.id/berita/qdag65335/ini-klarifikasi-video-mobil-wapres-diduga-kehabisan-bensin



","Penjelasan :Beredar sebuah video di media sosial yang menampilkan mobil dinas Wakil Presiden sedang diisi bahan bakarnya dengan menggunakan jeriken.
Video tersebut disertai narasi ""Mobil Wapres (RI2) kehabisan bensin, Ngecer bensin dipinggir jalan.
Kode devisit APBN""Setelah ditelusuri, klaim yang menyebutkan mobil Wapres kehabisan bensin dan mengisi bensin eceran adalah salah.
Oemar menjelaskan ""Pengisian BBM dari jeriken dilakukan karena tidak adanya SPBU yang memiliki bahan bakar minyak (BBM) sesuai kriteria mobil VVIP dan bukan karena mobil tersebut kehabisan BBM.""
Saat diperlukan pengisian BBM, dan ketika tidak tersedia BBM yang sesuai spesifikasi mobil VVIP di SPBU setempat, maka digunakan BBM cadangan yang telah disiapkan.",https://www.kominfo.go.id,hoax
4,4,[DISINFORMASI] BBM Langka Akibat Depo Pertamina Plumpang Terbakar,Pdsi Kominfo,"Penjelasan :

Beredar unggahan di media sosial Facebook sebuah narasi yang mengeklaim bahwa kebakaran Depo Pertamina Plumpang mengakibatkan bahan bakar minyak (BBM) akan langka.

Dilansir dari liputan6.com , Vice President Corporate Communication PT Pertamina (Persero) Fadjar Djoko Santoso memastikan bahwa pasokan BBM aman. Lebih lanjut menurut Fadjar, Pertamina masih tetap mengantisipasi kebutuhan BBM di wilayah Jakarta, Bogor, Depok Tangerang, Bekasi (Jabodetabek), dan sekitarnya dengan menjalankan alih suplai dari Terminal BBM Tanjung Gerem, Terminal BBM Cikampek, dan Terminal BBM Ujung Berung. Untuk memperkuat pasokan, penyaluran BBM juga dilakukan dari Kilang Balongan dan Kilang Cilacap melalui jalur laut ke Terminal BBM Tanjung Priok.

KATEGORI: DISINFORMASI

Link counter:","Penjelasan :Beredar unggahan di media sosial Facebook sebuah narasi yang mengeklaim bahwa kebakaran Depo Pertamina Plumpang mengakibatkan bahan bakar minyak (BBM) akan langka.
Dilansir dari liputan6.com , Vice President Corporate Communication PT Pertamina (Persero) Fadjar Djoko Santoso memastikan bahwa pasokan BBM aman.
Lebih lanjut menurut Fadjar, Pertamina masih tetap mengantisipasi kebutuhan BBM di wilayah Jakarta, Bogor, Depok Tangerang, Bekasi (Jabodetabek), dan sekitarnya dengan menjalankan alih suplai dari Terminal BBM Tanjung Gerem, Terminal BBM Cikampek, dan Terminal BBM Ujung Berung.
Untuk memperkuat pasokan, penyaluran BBM juga dilakukan dari Kilang Balongan dan Kilang Cilacap melalui jalur laut ke Terminal BBM Tanjung Priok.
KATEGORI: DISINFORMASILink counter:",https://www.kominfo.go.id,hoax
5,5,[DISINFORMASI] Kebakaran Sebuah Kafe di Malioboro karena Gas Air Mata,Pdsi Kominfo,"Penjelasan :

Beredar informasi di media sosial yang menyebutkan kebakaran di salah satu kafe dua lantai di Malioboro, Yogyakarta adalah akibat karena tembakan gas air mata milik polisi. Kebakaran ini terjadi bersamaan dengan unjuk rasa menolak Omnibus Law atau UU Cipta Kerja yang ricuh di kawasan wisata tersebut pada Kamis, 8 Oktober 2020.

Dilansir dari Tempo.co , Komisaris Totok Tri Kusuma dari tim Labfor Mabes Polri, menepis kabar bahwa kebakaran tersebut disebabkan karena kandungan materi gas air mata yang ditembakkan oleh petugas. Totok lebih lanjut menjelaskan temuan sementara tim atas barang bukti yang diperiksa tersebut, terdapat kandungan penyusun materi bahan bakar minyak (BBM). Sehingga dugaan awal penyebab terbakarnya lantai dua cafe itu sejauh ini masih mengarah akibat lemparan objek benda atau barang berisi BBM atau yang selama ini dikenal sebagai bom molotov.

KATEGORI: DISINFORMASI

Link Counter :","Penjelasan :Beredar informasi di media sosial yang menyebutkan kebakaran di salah satu kafe dua lantai di Malioboro, Yogyakarta adalah akibat karena tembakan gas air mata milik polisi.
Kebakaran ini terjadi bersamaan dengan unjuk rasa menolak Omnibus Law atau UU Cipta Kerja yang ricuh di kawasan wisata tersebut pada Kamis, 8 Oktober 2020.
Dilansir dari Tempo.co , Komisaris Totok Tri Kusuma dari tim Labfor Mabes Polri, menepis kabar bahwa kebakaran tersebut disebabkan karena kandungan materi gas air mata yang ditembakkan oleh petugas.
Totok lebih lanjut menjelaskan temuan sementara tim atas barang bukti yang diperiksa tersebut, terdapat kandungan penyusun materi bahan bakar minyak (BBM).
Sehingga dugaan awal penyebab terbakarnya lantai dua cafe itu sejauh ini masih mengarah akibat lemparan objek benda atau barang berisi BBM atau yang selama ini dikenal sebagai bom molotov.",https://www.kominfo.go.id,hoax
6,6,[HOAKS] Tautan Kuesioner Berhadiah Subsidi BBM Pertamina Senilai Rp5 Juta,Pdsi Kominfo,"Penjelasan :

Telah beredar di media sosial Facebook sebuah tautan kuesioner berhadiah subsidi bahan bakar minyak (BBM) Pertamina senilai Rp5 juta.

Faktanya, tautan kuesioner berhadiah subsidi BBM Pertamina senilai Rp5 juta adalah tidak benar. Dilansir dari kompas.com, Pejabat Sementara (Pjs) Vice President Corporate Communication Pertamina Heppy Wulansari mengatakan tautan kuesioner berhadiah subsidi BBM Pertamina yang beredar di Facebook adalah hoaks. Dia mengatakan, Pertamina tidak pernah memberikan kuesioner berhadiah subsidi BBM.

Kategori: Hoaks

Link Counter:","Penjelasan :Telah beredar di media sosial Facebook sebuah tautan kuesioner berhadiah subsidi bahan bakar minyak (BBM) Pertamina senilai Rp5 juta.
Faktanya, tautan kuesioner berhadiah subsidi BBM Pertamina senilai Rp5 juta adalah tidak benar.
Dilansir dari kompas.com, Pejabat Sementara (Pjs) Vice President Corporate Communication Pertamina Heppy Wulansari mengatakan tautan kuesioner berhadiah subsidi BBM Pertamina yang beredar di Facebook adalah hoaks.
Dia mengatakan, Pertamina tidak pernah memberikan kuesioner berhadiah subsidi BBM.
Kategori: HoaksLink Counter:",https://www.kominfo.go.id,hoax
7,7,[DISINFORMASI] Kebakaran Sebuah Kafe di Malioboro karena Gas Air Mata,Pdsi Kominfo,"Penjelasan :

Beredar informasi di media sosial yang menyebutkan kebakaran di salah satu kafe dua lantai di Malioboro, Yogyakarta adalah akibat karena tembakan gas air mata milik polisi. Kebakaran ini terjadi bersamaan dengan unjuk rasa menolak Omnibus Law atau UU Cipta Kerja yang ricuh di kawasan wisata tersebut pada Kamis, 8 Oktober 2020.

Dilansir dari Tempo.co , Komisaris Totok Tri Kusuma dari tim Labfor Mabes Polri, menepis kabar bahwa kebakaran tersebut disebabkan karena kandungan materi gas air mata yang ditembakkan oleh petugas. Totok lebih lanjut menjelaskan temuan sementara tim atas barang bukti yang diperiksa tersebut, terdapat kandungan penyusun materi bahan bakar minyak (BBM). Sehingga dugaan awal penyebab terbakarnya lantai dua cafe itu sejauh ini masih mengarah akibat lemparan objek benda atau barang berisi BBM atau yang selama ini dikenal sebagai bom molotov.

KATEGORI: DISINFORMASI

Link Counter :","Penjelasan :Beredar informasi di media sosial yang menyebutkan kebakaran di salah satu kafe dua lantai di Malioboro, Yogyakarta adalah akibat karena tembakan gas air mata milik polisi.
Kebakaran ini terjadi bersamaan dengan unjuk rasa menolak Omnibus Law atau UU Cipta Kerja yang ricuh di kawasan wisata tersebut pada Kamis, 8 Oktober 2020.
Dilansir dari Tempo.co , Komisaris Totok Tri Kusuma dari tim Labfor Mabes Polri, menepis kabar bahwa kebakaran tersebut disebabkan karena kandungan materi gas air mata yang ditembakkan oleh petugas.
Totok lebih lanjut menjelaskan temuan sementara tim atas barang bukti yang diperiksa tersebut, terdapat kandungan penyusun materi bahan bakar minyak (BBM).
Sehingga dugaan awal penyebab terbakarnya lantai dua cafe itu sejauh ini masih mengarah akibat lemparan objek benda atau barang berisi BBM atau yang selama ini dikenal sebagai bom molotov.",https://www.kominfo.go.id,hoax
8,8,"Pemerintah Proyeksikan Perekonomian Nasional 2023 Tumbuh 5,3 Persen",Pdsi Kominfo,"Jakarta Pusat, Kominfo - Pemerintah memperkirakan pertumbuhan ekonomi nasional sampai akhir tahun 2022 berada pada angka 5,2 persen secara tahunan (year on year). Sedangkan pada tahun 2023, pemerintah memperkirakan perekonomian nasional tumbuh di angka 5,3 persen.

“Di tahun 2023 forecast-nya di angka 5,3 persen sesuai APBN. Berbagai lembaga dunia baik itu OECD, IMF, World Bank, ADB, itu memproyeksikan pertumbuhan ekonomi kita antara 4,7 sampai 5,1 persen di tahun depan,” ujar Menteri Koordinator Bidang Perekonomian, Airlangga Hartarto, dalam keterangannya di Kantor Presiden selepas mengikuti sidang kabinet paripurna yang dipimpin oleh Presiden Joko Widodo di Istana Negara, Jakarta Pusat, Selasa (06/12/2022).

Airlangga juga menjelaskan bahwa inflasi diperkirakan terkendali hingga akhir tahun. Setelah sebelumnya berada pada angka 5,9 persen, 5,72 persen, dan 5,42 persen, Airlangga memperkirakan sampai akhir tahun angka inflasi berada pada kisaran 5,34-5,5 persen.

Sementara itu, terkait penanganan pandemi, Airlangga menjelaskan bahwa vaksinasi dosis pertama sudah mencapai 86,8 persen, dosis kedua 74,3 persen, dosis ketiga 28,62 persen, dan dosis keempat sekitar 4 persen. Selain itu, seluruh kabupaten/kota berada pada level Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) level 1.

“Mengingat situasi yang ada, Kementerian Kesehatan akan melakukan sero survei lagi dan tentunya dengan sero survei pemerintah akan mengambil langkah-langkah lanjutan,” ungkap Airlangga.

Terkait ketahanan energi, Airlangga menyampaikan bahwa Presiden Joko Widodo memberikan arahan agar tahun depan dibuatkan mekanisme perencanaan implementasi B35 atau biodiesel 35 persen. Dengan implementasi B35 tersebut diharapkan akan mengurangi ketergantungan terhadap impor bahan bakar minyak.

Dari segi pangan, Presiden Jokowi meminta agar cadangan pangan nasional diperhatikan dan ditingkatkan untuk berbagai komoditas, baik itu beras, jagung, kedelai, bawang merah, bawang putih, cabai, daging sapi, ayam ras, telur, gula konsumsi, minyak goreng, dan juga cabai rawit. Pemerintah juga akan menyiapkan mekanisme pembiayaan bagi Bulog maupun RSI atau ID Food melalui Kementerian Keuangan.

“Pemerintah sudah mempersiapkan melalui Menteri Keuangan di mana nilai pinjaman baik itu untuk Bulog maupun ID Food itu dengan rate tertentu yang lebih rendah daripada rate pasar. Ini mekanismenya juga sedang disiapkan oleh pemerintah,” jelasnya.

Selanjutnya, terkait investasi, Presiden Joko Widodo meminta jajarannya agar mempercepat izin-izin investasi. Menurut Airlangga, pemerintah saat ini telah memiliki potensi investasi yang besar hingga mendekati 30 miliar dolar AS.

“Bapak Presiden menginginkan agar perizinan terkait perizinan industri, perizinan konstruksi, perizinan amdal, itu diberikan dalam waktu yang relatif singkat,” lanjutnya.

Terkait pengembangan ekosistem baterai kendaraan listrik hingga industri otomotif berbasis listrik, Airlangga menyebut bahwa pemerintah akan menyiapkan insentif untuk memastikan investasinya masuk. Pemerintah meyakini bahwa ekosistem tersebut nantinya akan menjadi andalan ekonomi nasional.

“Oleh karena itu, terkait dengan ekosistem ini diminta untuk mendalami berbagai komoditas baik itu bauksit, alumunium, maupun nikel beserta integrasi ekosistemnya dalam bentuk EV baterai yang tentu membutuhkan nikel, kobalt, mangan, dan komoditas lainnya,” tandasnya.","Jakarta Pusat, Kominfo - Pemerintah memperkirakan pertumbuhan ekonomi nasional sampai akhir tahun 2022 berada pada angka 5,2 persen secara tahunan (year on year).
Sedangkan pada tahun 2023, pemerintah memperkirakan perekonomian nasional tumbuh di angka 5,3 persen.
Terkait ketahanan energi, Airlangga menyampaikan bahwa Presiden Joko Widodo memberikan arahan agar tahun depan dibuatkan mekanisme perencanaan implementasi B35 atau biodiesel 35 persen.
Selanjutnya, terkait investasi, Presiden Joko Widodo meminta jajarannya agar mempercepat izin-izin investasi.
“Bapak Presiden menginginkan agar perizinan terkait perizinan industri, perizinan konstruksi, perizinan amdal, itu diberikan dalam waktu yang relatif singkat,” lanjutnya.",https://www.kominfo.go.id,hoax
9,9,[HOAKS] Pertamina Bagikan Subsidi BBM Rp700 Ribu untuk Peringati HUT ke-55,Pdsi Kominfo,"Penjelasan :

Beredar sebuah tautan mengatasnamakan PT Pertamina (Persero) yang mengklaim bahwa dalam memperingati HUT ke-55 PT Pertamina (Persero) membagikan subsidi bahan bakar minyak (BBM) sebesar Rp700 ribu dengan mengisi kuesioner.

Dilansir dari liputan6.com , klaim PT Pertamina (Persero) membagikan subsidi BBM sebesar Rp700 ribu untuk peringati HUT ke-55 tidak benar. Unit Manager Communication Relations & CSR MOR III Eko Kristiawan mengatakan bahwa Pertamina tidak menerapkan mekanisme pembagian subsidi energi dengan membagikan tautan dan mengisi kuesioner. Oleh karena itu, pihaknya mengimbau masyarakat agar waspada terhadap penipuan undian yang mengatasnamakan PT Pertamina (Persero) baik yang disampaikan melalui WhatsApp, SMS, maupun email. Adapun seluruh program promosi PT Pertamina (Persero) disampaikan melalui saluran komunikasi resmi perusahaan, yakni situs www.pertamina.com, akun media sosial @pertamina.com, serta aplikasi resmi MyPertamina. Apabila ada program promosi atau undian berhadiah yang disampaikan secara tertutup, maka dipastikan itu penipuan dan hoaks atau berita bohong, bukan dari PT Pertamina (Persero).

KATEGORI: HOAKS

Link counter:","Penjelasan :Beredar sebuah tautan mengatasnamakan PT Pertamina (Persero) yang mengklaim bahwa dalam memperingati HUT ke-55 PT Pertamina (Persero) membagikan subsidi bahan bakar minyak (BBM) sebesar Rp700 ribu dengan mengisi kuesioner.
Dilansir dari liputan6.com , klaim PT Pertamina (Persero) membagikan subsidi BBM sebesar Rp700 ribu untuk peringati HUT ke-55 tidak benar.
Unit Manager Communication Relations & CSR MOR III Eko Kristiawan mengatakan bahwa Pertamina tidak menerapkan mekanisme pembagian subsidi energi dengan membagikan tautan dan mengisi kuesioner.
Oleh karena itu, pihaknya mengimbau masyarakat agar waspada terhadap penipuan undian yang mengatasnamakan PT Pertamina (Persero) baik yang disampaikan melalui WhatsApp, SMS, maupun email.
Adapun seluruh program promosi PT Pertamina (Persero) disampaikan melalui saluran komunikasi resmi perusahaan, yakni situs www.pertamina.com, akun media sosial @pertamina.com, serta aplikasi resmi MyPertamina.",https://www.kominfo.go.id,hoax
